Order_Date,Time,Customer_Id,Product_Category,Product,Sales,Quantity,Order_Priority
09/11/2018,20:19:05,13196,Auto & Accessories,Car Body Covers,117,4,Critical
01/08/2018,14:02:19,50444,Auto & Accessories,Car & Bike Care,118,5,Critical
26/10/2018,13:42:52,24528,Auto & Accessories,Tyre,250,1,Medium
26/07/2018,14:39:59,57748,Auto & Accessories,Bike Tyres,72,1,Critical
15/03/2018,00:06:10,46349,Auto & Accessories,Car Mat,54,5,High
30/11/2018,08:15:24,54853,Auto & Accessories,Car Seat Covers,114,4,High
11/10/2018,10:25:52,28082,Auto & Accessories,Car Pillow & Neck Rest,231,1,High
11/10/2018,08:18:19,20444,Auto & Accessories,Car Media Players,140,1,High
09/12/2018,14:50:15,51472,Auto & Accessories,Car Speakers,211,1,Critical
13/12/2018,18:14:36,45606,Auto & Accessories,Car Body Covers,117,4,High
13/10/2018,21:11:26,47238,Auto & Accessories,Car & Bike Care,118,1,Critical
30/04/2018,22:02:15,18609,Auto & Accessories,Tyre,250,1,Medium
05/11/2018,13:09:48,39387,Auto & Accessories,Bike Tyres,72,1,High
15/04/2018,11:31:41,47027,Auto & Accessories,Car Mat,54,5,High
19/08/2018,20:31:09,31526,Auto & Accessories,Car Seat Covers,114,1,High
22/09/2018,08:48:13,25308,Auto & Accessories,Car Pillow & Neck Rest,231,5,Medium
07/06/2018,21:44:54,47320,Auto & Accessories,Car Media Players,140,1,Critical
10/08/2018,13:26:59,52527,Auto & Accessories,Car Speakers,211,1,Medium
18/10/2018,16:02:23,17333,Auto & Accessories,Car Body Covers,117,1,High
13/10/2018,13:47:39,26223,Auto & Accessories,Car & Bike Care,118,1,High
15/07/2018,08:33:19,22734,Auto & Accessories,Tyre,250,1,High
13/02/2018,14:27:11,54066,Auto & Accessories,Bike Tyres,72,1,High
13/09/2018,08:44:17,55093,Auto & Accessories,Car Mat,54,1,Critical
15/08/2018,10:33:30,49436,Auto & Accessories,Car Seat Covers,114,4,Medium
20/08/2018,11:45:39,41257,Auto & Accessories,Car Pillow & Neck Rest,231,1,Medium
20/09/2018,17:15:46,55433,Auto & Accessories,Car Media Players,140,4,High
15/02/2018,09:19:48,13366,Auto & Accessories,Car Speakers,211,5,Critical
28/07/2018,16:52:55,41451,Auto & Accessories,Car Body Covers,117,4,High
09/11/2018,18:32:47,42588,Auto & Accessories,Car & Bike Care,118,1,High
26/11/2018,22:04:34,26754,Auto & Accessories,Tyre,250,4,Critical
30/07/2018,03:06:35,34365,Auto & Accessories,Bike Tyres,72,4,Critical
22/03/2018,00:17:37,49745,Auto & Accessories,Car Mat,54,5,High
06/09/2018,22:39:29,53213,Auto & Accessories,Car Seat Covers,114,1,Critical
09/05/2018,20:48:59,43735,Auto & Accessories,Car Pillow & Neck Rest,231,1,High
20/09/2018,20:42:44,14760,Auto & Accessories,Car Media Players,140,1,High
16/01/2018,14:56:50,44410,Auto & Accessories,Car Speakers,211,5,High
08/03/2018,09:42:43,53552,Auto & Accessories,Car Body Covers,117,1,Critical
26/11/2018,16:53:30,39696,Auto & Accessories,Car & Bike Care,118,1,High
27/08/2018,12:55:42,22235,Auto & Accessories,Tyre,250,4,Critical
11/05/2018,13:10:51,42599,Auto & Accessories,Bike Tyres,72,1,High
22/06/2018,19:22:22,27079,Auto & Accessories,Car Mat,54,1,Critical
01/05/2018,08:12:37,57745,Auto & Accessories,Car Seat Covers,114,1,High
19/02/2018,22:17:15,20917,Auto & Accessories,Car Pillow & Neck Rest,231,5,Critical
11/09/2018,22:32:31,54446,Auto & Accessories,Car Media Players,140,1,High
20/03/2018,23:45:07,55746,Auto & Accessories,Car Speakers,211,1,Critical
22/09/2018,23:23:18,58534,Auto & Accessories,Car Body Covers,117,1,Critical
03/11/2018,08:59:39,53957,Auto & Accessories,Car & Bike Care,118,4,Critical
14/05/2018,08:35:33,53395,Auto & Accessories,Tyre,250,4,High
22/04/2018,11:32:22,52267,Auto & Accessories,Bike Tyres,72,,Critical
30/12/2018,07:50:33,29085,Auto & Accessories,Car Mat,54,5,High
05/10/2018,09:10:34,56399,Auto & Accessories,Car Seat Covers,114,1,High
26/11/2018,11:04:26,27009,Auto & Accessories,Car Pillow & Neck Rest,231,1,Critical
17/05/2018,08:36:11,35336,Auto & Accessories,Car Media Players,140,1,Critical
30/07/2018,22:41:44,26503,Auto & Accessories,Car Speakers,211,5,Critical
01/12/2018,22:14:26,50579,Auto & Accessories,Car Body Covers,117,1,High
06/08/2018,21:09:10,54326,Auto & Accessories,Car & Bike Care,118,5,Critical
28/06/2018,23:45:53,23420,Auto & Accessories,Tyre,250,1,High
27/06/2018,22:04:34,32534,Auto & Accessories,Bike Tyres,72,4,High
01/07/2018,15:42:32,22902,Auto & Accessories,Car Mat,54,5,Critical
27/02/2018,12:07:22,31526,Auto & Accessories,Car Seat Covers,114,1,Critical
28/04/2018,21:00:44,40170,Auto & Accessories,Car Pillow & Neck Rest,231,1,Critical
01/08/2018,12:31:21,18701,Auto & Accessories,Car Media Players,140,4,Medium
22/11/2018,16:10:29,10773,Auto & Accessories,Car Speakers,211,1,Critical
06/07/2018,23:36:15,41607,Auto & Accessories,Car Body Covers,117,5,Critical
09/05/2018,18:27:00,26936,Auto & Accessories,Car & Bike Care,118,1,Medium
26/04/2018,17:49:46,56518,Auto & Accessories,Tyre,250,5,High
27/10/2018,23:11:57,44722,Auto & Accessories,Bike Tyres,72,1,High
23/06/2018,10:32:39,39332,Auto & Accessories,Car Mat,54,4,High
20/11/2018,18:24:30,39095,Auto & Accessories,Car Seat Covers,114,5,High
30/06/2018,07:51:17,55428,Auto & Accessories,Car Pillow & Neck Rest,231,4,Critical
30/12/2018,14:20:46,16481,Auto & Accessories,Car Media Players,140,1,High
07/12/2018,23:00:33,23129,Auto & Accessories,Car Speakers,211,1,High
08/05/2018,22:12:34,39272,Auto & Accessories,Car Body Covers,117,5,Critical
30/12/2018,14:46:00,54296,Auto & Accessories,Car & Bike Care,118,5,High
24/04/2018,21:55:22,50254,Auto & Accessories,Tyre,250,4,High
25/09/2018,22:18:10,42386,Auto & Accessories,Bike Tyres,72,4,Critical
16/07/2018,10:27:45,16296,Auto & Accessories,Car Mat,54,1,High
21/04/2018,12:08:32,43547,Auto & Accessories,Car Seat Covers,114,1,High
19/01/2018,15:08:48,58155,Auto & Accessories,Car Pillow & Neck Rest,231,1,Critical
22/07/2018,15:19:05,46686,Auto & Accessories,Car Media Players,140,1,High
02/03/2018,14:28:03,39372,Auto & Accessories,Car Speakers,211,1,High
26/12/2018,09:14:26,23926,Auto & Accessories,Car Body Covers,117,5,High
09/06/2018,06:37:43,59723,Auto & Accessories,Car & Bike Care,118,5,Medium
06/08/2018,18:25:39,13656,Auto & Accessories,Tyre,250,1,High
18/07/2018,13:39:54,47245,Auto & Accessories,Bike Tyres,72,5,Critical
28/12/2018,16:03:34,26200,Auto & Accessories,Car Mat,54,1,High
08/10/2018,12:19:58,34771,Auto & Accessories,Car Seat Covers,114,5,Critical
10/07/2018,12:23:05,30722,Auto & Accessories,Car Pillow & Neck Rest,231,1,Critical
16/05/2018,16:10:21,46226,Auto & Accessories,Car Media Players,140,1,High
05/07/2018,18:40:47,31323,Auto & Accessories,Car Speakers,211,4,Critical
20/02/2018,17:12:34,57896,Auto & Accessories,Car Body Covers,117,5,Critical
21/08/2018,17:15:49,52183,Auto & Accessories,Car & Bike Care,118,5,Critical
10/06/2018,14:18:40,16327,Auto & Accessories,Tyre,250,4,Medium
26/09/2018,16:14:11,31345,Auto & Accessories,Bike Tyres,72,5,Critical
27/04/2018,19:24:52,17243,Auto & Accessories,Car Mat,54,5,Medium
11/05/2018,16:35:19,27820,Auto & Accessories,Car Seat Covers,114,4,Critical
25/05/2018,08:54:21,58874,Auto & Accessories,Car Pillow & Neck Rest,231,1,Critical
26/04/2018,09:32:06,28090,Auto & Accessories,Car Media Players,140,5,Critical
17/04/2018,21:14:42,44331,Auto & Accessories,Car Speakers,211,5,High
23/07/2018,18:27:07,46006,Auto & Accessories,Car Body Covers,117,1,Critical
14/08/2018,13:05:17,22080,Auto & Accessories,Car & Bike Care,118,5,Medium
30/09/2018,22:43:56,41793,Auto & Accessories,Tyre,250,1,Critical
15/05/2018,16:29:03,28996,Auto & Accessories,Bike Tyres,72,1,High
22/07/2018,19:16:47,36277,Auto & Accessories,Car Mat,54,4,High
24/10/2018,19:01:52,45487,Auto & Accessories,Car Seat Covers,114,4,Critical
02/07/2018,12:54:20,13020,Auto & Accessories,Car Pillow & Neck Rest,231,1,Critical
06/12/2018,00:14:28,52525,Auto & Accessories,Car Media Players,140,1,High
04/01/2018,23:02:21,29479,Auto & Accessories,Car Speakers,211,5,High
21/03/2018,17:43:41,16029,Auto & Accessories,Car Body Covers,117,4,Critical
02/08/2018,16:15:41,37402,Auto & Accessories,Car & Bike Care,118,1,Critical
01/10/2018,11:26:06,53794,Auto & Accessories,Tyre,250,1,Medium
09/11/2018,16:23:03,32178,Auto & Accessories,Bike Tyres,72,1,High
15/04/2018,13:47:34,58607,Auto & Accessories,Car Mat,54,5,Medium
26/09/2018,11:59:05,20045,Auto & Accessories,Car Seat Covers,114,1,High
15/07/2018,12:37:12,15311,Auto & Accessories,Car Pillow & Neck Rest,231,4,Critical
30/05/2018,22:33:08,48474,Auto & Accessories,Car Media Players,140,1,Critical
02/03/2018,14:08:33,20784,Auto & Accessories,Car Speakers,211,1,Medium
29/12/2018,14:27:41,13649,Auto & Accessories,Car Body Covers,117,4,Critical
25/10/2018,15:36:18,45439,Auto & Accessories,Car & Bike Care,118,1,Critical
11/02/2018,07:54:38,34182,Auto & Accessories,Tyre,250,5,Critical
15/09/2018,19:42:06,30880,Auto & Accessories,Bike Tyres,72,1,High
13/06/2018,08:19:23,52427,Auto & Accessories,Car Mat,54,5,Critical
04/09/2018,08:39:50,55136,Auto & Accessories,Car Seat Covers,114,1,High
26/02/2018,12:32:39,47162,Auto & Accessories,Car Pillow & Neck Rest,231,4,High
28/08/2018,17:00:28,56059,Auto & Accessories,Car Media Players,140,4,Critical
22/09/2018,19:26:47,27239,Auto & Accessories,Car Speakers,211,4,Medium
13/02/2018,09:18:50,49838,Auto & Accessories,Car Body Covers,117,5,High
18/06/2018,09:30:54,48939,Auto & Accessories,Car & Bike Care,118,5,High
14/12/2018,16:25:43,37902,Auto & Accessories,Tyre,250,5,High
20/03/2018,12:30:40,31091,Auto & Accessories,Bike Tyres,72,1,Critical
04/03/2018,17:24:57,36695,Auto & Accessories,Car Mat,54,1,High
03/11/2018,22:23:06,52162,Auto & Accessories,Car Seat Covers,114,1,Critical
29/12/2018,14:29:44,22796,Auto & Accessories,Car Pillow & Neck Rest,231,1,High
18/05/2018,20:59:24,20028,Auto & Accessories,Car Media Players,140,5,High
16/10/2018,00:22:49,38370,Auto & Accessories,Car Speakers,211,1,High
05/07/2018,09:16:49,47033,Auto & Accessories,Car Body Covers,117,5,Medium
27/07/2018,12:45:51,55217,Auto & Accessories,Car & Bike Care,118,4,Critical
08/07/2018,14:12:08,24701,Auto & Accessories,Tyre,250,4,Critical
15/12/2018,16:59:11,17706,Auto & Accessories,Bike Tyres,72,1,Critical
25/10/2018,19:30:09,59762,Auto & Accessories,Car Mat,54,5,High
28/08/2018,21:27:43,43985,Auto & Accessories,Car Seat Covers,114,1,Critical
16/09/2018,21:07:16,38808,Auto & Accessories,Car Pillow & Neck Rest,231,5,Medium
15/05/2018,19:55:51,56608,Auto & Accessories,Car Media Players,140,1,Medium
13/07/2018,15:45:51,56673,Auto & Accessories,Car Speakers,211,4,High
01/11/2018,18:52:12,31345,Auto & Accessories,Car Body Covers,117,1,Critical
21/07/2018,12:49:32,25891,Auto & Accessories,Car & Bike Care,118,1,Critical
09/12/2018,22:17:49,51017,Auto & Accessories,Tyre,250,5,Medium
09/03/2018,17:27:58,20674,Auto & Accessories,Bike Tyres,72,1,Medium
01/11/2018,10:48:19,18692,Auto & Accessories,Car Mat,54,1,Medium
09/09/2018,13:56:45,14583,Auto & Accessories,Car Seat Covers,114,1,Medium
10/08/2018,19:27:28,16602,Auto & Accessories,Car Pillow & Neck Rest,231,1,Medium
27/09/2018,11:08:59,25626,Auto & Accessories,Car Media Players,140,1,Critical
06/03/2018,15:26:09,32994,Auto & Accessories,Car Speakers,211,1,Medium
30/04/2018,22:37:50,58813,Auto & Accessories,Car Body Covers,117,1,High
05/10/2018,13:24:46,38300,Auto & Accessories,Car & Bike Care,118,4,Critical
12/02/2018,16:32:09,40978,Auto & Accessories,Tyre,250,1,Critical
22/07/2018,22:30:05,58697,Auto & Accessories,Bike Tyres,72,1,Medium
03/10/2018,18:24:33,46213,Auto & Accessories,Car Mat,54,1,Critical
23/05/2018,16:37:35,11829,Auto & Accessories,Car Seat Covers,114,1,High
03/08/2018,10:51:17,19828,Auto & Accessories,Car Pillow & Neck Rest,231,1,Critical
17/05/2018,08:33:19,16258,Auto & Accessories,Car Media Players,140,5,Medium
10/11/2018,13:42:06,15948,Auto & Accessories,Car Speakers,211,1,Critical
18/09/2018,20:13:31,26655,Auto & Accessories,Car Body Covers,117,4,Critical
27/02/2018,14:43:47,43623,Auto & Accessories,Car & Bike Care,118,1,Medium
05/08/2018,17:27:54,47137,Auto & Accessories,Tyre,250,5,Medium
16/04/2018,14:32:06,21104,Auto & Accessories,Bike Tyres,72,4,High
30/06/2018,13:21:44,14728,Auto & Accessories,Car Mat,54,5,Critical
11/06/2018,16:51:17,36570,Auto & Accessories,Car Seat Covers,114,1,Medium
04/10/2018,10:05:59,32969,Auto & Accessories,Car Pillow & Neck Rest,231,5,High
29/12/2018,16:17:53,21451,Auto & Accessories,Car Media Players,140,1,High
17/07/2018,21:55:56,58443,Auto & Accessories,Car Speakers,211,5,Critical
09/05/2018,14:32:09,21503,Auto & Accessories,Car Body Covers,117,1,Critical
08/11/2018,21:11:25,28323,Auto & Accessories,Car & Bike Care,118,5,Medium
17/09/2018,11:25:39,34295,Auto & Accessories,Tyre,250,4,High
22/09/2018,13:48:18,16865,Auto & Accessories,Bike Tyres,72,1,Medium
11/03/2018,21:43:24,21651,Auto & Accessories,Car Mat,54,1,Medium
04/05/2018,10:29:14,30275,Auto & Accessories,Car Seat Covers,114,1,High
17/03/2018,19:40:26,26043,Auto & Accessories,Car Pillow & Neck Rest,231,5,High
21/03/2018,04:59:55,17728,Auto & Accessories,Car Media Players,140,1,High
27/08/2018,10:05:56,55098,Auto & Accessories,Car Speakers,211,4,Critical
18/12/2018,20:59:28,35276,Auto & Accessories,Car Body Covers,117,1,High
05/06/2018,13:34:35,22183,Auto & Accessories,Car & Bike Care,118,1,High
24/04/2018,16:56:46,56911,Auto & Accessories,Tyre,250,4,Critical
24/03/2018,17:34:12,33519,Auto & Accessories,Bike Tyres,72,4,Medium
29/12/2018,15:08:14,43602,Auto & Accessories,Car Mat,54,1,High
29/04/2018,17:43:34,53167,Auto & Accessories,Car Seat Covers,114,1,High
03/09/2018,13:47:14,52182,Auto & Accessories,Car Pillow & Neck Rest,231,5,Medium
20/09/2018,16:18:26,37251,Auto & Accessories,Car Media Players,140,1,Medium
25/06/2018,23:13:41,13031,Auto & Accessories,Car Speakers,211,1,Critical
08/05/2018,14:38:14,17782,Auto & Accessories,Car Body Covers,117,1,Medium
16/10/2018,19:05:54,11596,Auto & Accessories,Car & Bike Care,118,4,Critical
02/07/2018,20:47:24,12494,Auto & Accessories,Tyre,250,4,Medium
23/06/2018,23:59:03,22465,Auto & Accessories,Bike Tyres,72,1,High
16/06/2018,22:34:16,22830,Auto & Accessories,Car Mat,54,5,High
22/08/2018,15:04:08,52175,Auto & Accessories,Car Seat Covers,114,1,High
30/12/2018,23:11:40,36086,Auto & Accessories,Car Pillow & Neck Rest,231,1,Critical
12/08/2018,18:48:56,21094,Auto & Accessories,Car Media Players,140,5,High
01/08/2018,07:47:34,54590,Auto & Accessories,Car Speakers,211,1,Critical
06/10/2018,14:21:47,52232,Auto & Accessories,Car Body Covers,117,1,Medium
17/04/2018,13:12:47,30480,Auto & Accessories,Car & Bike Care,118,5,Medium
30/06/2018,17:36:43,13234,Auto & Accessories,Tyre,250,4,Critical
07/12/2018,12:08:37,38389,Auto & Accessories,Bike Tyres,72,1,Critical
10/06/2018,09:04:09,52378,Auto & Accessories,Car Mat,54,1,Critical
08/08/2018,18:00:36,25341,Auto & Accessories,Car Seat Covers,114,1,Medium
30/10/2018,21:57:55,13215,Auto & Accessories,Car Pillow & Neck Rest,231,5,High
08/11/2018,10:49:59,54781,Auto & Accessories,Car Media Players,140,4,Medium
05/01/2018,05:23:47,10983,Auto & Accessories,Car Speakers,211,5,High
10/09/2018,14:58:16,55651,Auto & Accessories,Car Body Covers,117,4,High
08/08/2018,18:56:45,39013,Auto & Accessories,Car & Bike Care,118,1,Medium
12/07/2018,20:24:07,45528,Auto & Accessories,Tyre,250,5,Critical
24/04/2018,14:15:53,41163,Auto & Accessories,Bike Tyres,72,1,Medium
30/11/2018,17:46:40,32770,Auto & Accessories,Car Mat,54,1,High
15/05/2018,09:10:20,10207,Auto & Accessories,Car Seat Covers,114,5,Critical
22/06/2018,19:22:26,55557,Auto & Accessories,Car Pillow & Neck Rest,231,1,High
16/10/2018,00:01:56,18046,Auto & Accessories,Car Media Players,140,1,Critical
28/07/2018,18:21:00,40604,Auto & Accessories,Car Speakers,211,5,High
28/04/2018,21:07:26,20047,Auto & Accessories,Car Body Covers,117,1,High
11/08/2018,14:13:54,18455,Auto & Accessories,Car & Bike Care,118,1,High
17/12/2018,15:21:11,55796,Auto & Accessories,Tyre,250,5,Critical
03/10/2018,11:52:11,40334,Auto & Accessories,Bike Tyres,72,1,Medium
07/05/2018,21:49:08,26194,Auto & Accessories,Car Mat,54,1,High
09/12/2018,14:58:05,38060,Auto & Accessories,Car Seat Covers,114,1,High
27/08/2018,15:53:44,21830,Auto & Accessories,Car Pillow & Neck Rest,231,1,Critical
24/06/2018,11:40:28,16088,Auto & Accessories,Car Media Players,140,4,High
09/10/2018,11:02:51,55811,Auto & Accessories,Car Speakers,211,4,High
11/04/2018,22:16:49,15544,Auto & Accessories,Car Body Covers,117,4,High
28/10/2018,11:08:58,31640,Auto & Accessories,Car & Bike Care,118,1,High
01/11/2018,14:58:41,40363,Auto & Accessories,Tyre,250,1,Critical
24/04/2018,17:37:41,12683,Auto & Accessories,Bike Tyres,72,1,Critical
03/08/2018,14:56:55,44679,Auto & Accessories,Car Mat,54,1,Critical
27/09/2018,10:24:22,43945,Auto & Accessories,Car Seat Covers,114,4,Critical
10/09/2018,16:22:27,34733,Auto & Accessories,Car Pillow & Neck Rest,231,4,High
13/04/2018,10:07:36,15226,Auto & Accessories,Car Media Players,140,1,Critical
23/07/2018,10:21:28,34203,Auto & Accessories,Car Speakers,211,4,Medium
03/09/2018,20:44:15,33895,Auto & Accessories,Car Body Covers,117,1,Critical
12/06/2018,19:27:08,37209,Auto & Accessories,Car & Bike Care,118,5,High
24/07/2018,17:19:00,33441,Auto & Accessories,Tyre,250,1,High
07/12/2018,23:46:19,26391,Auto & Accessories,Bike Tyres,72,1,Medium
05/10/2018,11:36:11,24821,Auto & Accessories,Car Mat,54,1,Critical
15/08/2018,23:27:21,56368,Auto & Accessories,Car Seat Covers,114,1,Medium
29/10/2018,00:10:49,54932,Auto & Accessories,Car Pillow & Neck Rest,231,4,Medium
19/06/2018,21:07:32,49855,Auto & Accessories,Car Media Players,140,5,High
29/12/2018,12:00:11,35355,Auto & Accessories,Car Speakers,211,5,High
15/12/2018,20:23:45,15936,Auto & Accessories,Car Body Covers,117,1,High
27/12/2018,22:14:59,26255,Auto & Accessories,Car & Bike Care,118,1,Critical
03/11/2018,13:32:54,20787,Auto & Accessories,Tyre,250,1,Critical
21/06/2018,17:08:01,26129,Auto & Accessories,Bike Tyres,72,1,Critical
26/02/2018,11:08:38,57975,Auto & Accessories,Car Mat,54,4,Critical
13/02/2018,15:07:45,55454,Auto & Accessories,Car Seat Covers,114,5,Critical
09/11/2018,20:36:13,19572,Auto & Accessories,Car Pillow & Neck Rest,231,1,High
07/03/2018,09:40:04,19699,Auto & Accessories,Car Media Players,140,5,Critical
30/05/2018,02:41:28,50565,Auto & Accessories,Car Speakers,211,5,Critical
27/10/2018,10:45:08,56744,Auto & Accessories,Car Body Covers,117,1,Critical
08/03/2018,04:45:26,23620,Auto & Accessories,Car & Bike Care,118,1,High
09/12/2018,15:09:28,27972,Auto & Accessories,Tyre,250,1,Critical
11/02/2018,11:50:32,23134,Auto & Accessories,Bike Tyres,72,4,Critical
12/10/2018,09:52:46,38188,Auto & Accessories,Car Mat,54,1,High
03/07/2018,01:17:32,51376,Auto & Accessories,Car Seat Covers,114,4,High
23/05/2018,15:28:58,54777,Auto & Accessories,Car Pillow & Neck Rest,231,5,High
29/04/2018,18:27:30,14094,Auto & Accessories,Car Media Players,140,5,Critical
14/06/2018,18:49:14,44566,Auto & Accessories,Car Speakers,211,4,High
23/11/2018,15:40:22,55569,Auto & Accessories,Car Body Covers,117,1,High
10/02/2018,22:32:14,18577,Auto & Accessories,Car & Bike Care,118,4,High
21/11/2018,16:45:44,40774,Auto & Accessories,Tyre,250,1,Critical
27/05/2018,17:59:00,52110,Auto & Accessories,Bike Tyres,72,1,High
20/05/2018,02:48:00,34171,Auto & Accessories,Car Mat,54,4,Medium
28/07/2018,11:25:16,18296,Auto & Accessories,Car Seat Covers,114,1,Critical
05/03/2018,10:34:52,52969,Auto & Accessories,Car Pillow & Neck Rest,231,1,High
07/12/2018,15:37:22,27073,Auto & Accessories,Car Media Players,140,1,Medium
20/11/2018,17:38:55,26740,Auto & Accessories,Car Speakers,211,1,High
09/08/2018,13:48:17,30584,Auto & Accessories,Car Body Covers,117,1,High
02/11/2018,14:41:02,19204,Auto & Accessories,Car & Bike Care,118,1,High
02/06/2018,19:20:35,26533,Auto & Accessories,Tyre,250,1,Medium
18/09/2018,15:40:36,43254,Auto & Accessories,Bike Tyres,72,1,Critical
05/06/2018,11:04:11,41850,Auto & Accessories,Car Mat,54,,Critical
14/05/2018,11:04:55,11266,Auto & Accessories,Car Seat Covers,114,1,Medium
26/04/2018,12:50:56,59218,Auto & Accessories,Car Pillow & Neck Rest,231,5,High
26/10/2018,10:58:48,45011,Auto & Accessories,Car Media Players,140,4,High
01/03/2018,20:39:26,16546,Auto & Accessories,Car Speakers,211,1,Critical
26/05/2018,18:35:51,24465,Auto & Accessories,Car Body Covers,117,5,High
09/11/2018,21:43:53,29481,Auto & Accessories,Car & Bike Care,118,1,Critical
09/11/2018,22:52:27,54987,Auto & Accessories,Tyre,250,4,Medium
01/09/2018,18:27:01,25658,Auto & Accessories,Bike Tyres,72,1,Critical
19/09/2018,13:45:55,33279,Auto & Accessories,Car Mat,54,1,High
17/11/2018,17:03:31,59529,Auto & Accessories,Car Seat Covers,114,1,High
16/11/2018,10:39:48,39623,Auto & Accessories,Car Pillow & Neck Rest,231,1,Critical
01/07/2018,20:54:21,30288,Auto & Accessories,Car Media Players,140,1,Medium
22/08/2018,20:53:14,20776,Auto & Accessories,Car Speakers,211,4,Critical
24/11/2018,19:01:02,59423,Auto & Accessories,Car Body Covers,117,1,High
11/11/2018,20:58:44,35668,Auto & Accessories,Car & Bike Care,118,1,Critical
25/08/2018,14:13:44,47705,Auto & Accessories,Tyre,250,4,Critical
11/07/2018,17:22:56,57927,Auto & Accessories,Bike Tyres,72,1,High
30/07/2018,16:16:19,30121,Auto & Accessories,Car Mat,54,1,High
11/01/2018,17:31:49,21848,Auto & Accessories,Car Seat Covers,114,1,Critical
09/05/2018,17:11:41,14546,Auto & Accessories,Car Pillow & Neck Rest,231,4,High
25/04/2018,16:23:49,47618,Auto & Accessories,Car Media Players,140,4,High
24/07/2018,12:45:26,43345,Auto & Accessories,Car Speakers,211,1,Critical
08/05/2018,12:22:44,53988,Auto & Accessories,Car Body Covers,117,1,Medium
